R0, Goku_[IndexFingers]_ppi+_Vegeta_[IndexFingers]
R1, Goku_[IndexFingers]_ppi-_Vegeta_[IndexFingers]
R2, Goku_[LeftEar]_ppi+_Potara_[Goku]
R3, Goku_[LeftEar]_ppi-_Potara_[Goku]
R4, Goku_[RightEar]_ppi+_Potara_[Goku]
R5, Goku_[RightEar]_ppi-_Potara_[Goku]
R6, Goku_[Vegeta]_ppi+_Vegeta_[Goku]
R7, Goku_[Vegeta]_ppi-_Vegeta_[Goku]
R8, KI_p+_Goku_[(ki)]
R9, KI_p+_Vegeta_[(ki)]
R10, Vegeta_[LeftEar]_ppi+_Potara_[Vegeta]
R11, Vegeta_[LeftEar]_ppi-_Potara_[Vegeta]
R12, Vegeta_[RightEar]_ppi+_Potara_[Vegeta]
R13, Vegeta_[RightEar]_ppi-_Potara_[Vegeta]
S0, Goku_[(ki)]-{0}
S1, Goku_[(ki)]-{p}
S2, Goku_[IndexFingers]--0
S3, Goku_[IndexFingers]--Vegeta_[IndexFingers]
S4, Goku_[LeftEar]--0
S5, Goku_[LeftEar]--Potara_[Goku]
S6, Goku_[RightEar]--0
S7, Goku_[RightEar]--Potara_[Goku]
S8, Goku_[Vegeta]--0
S9, Goku_[Vegeta]--Vegeta_[Goku]
S10, KI
S11, Potara_[Goku]--0
S12, Potara_[Vegeta]--0
S13, Potara_[Vegeta]--Vegeta_[LeftEar]
S14, Potara_[Vegeta]--Vegeta_[RightEar]
S15, Vegeta_[(ki)]-{0}
S16, Vegeta_[(ki)]-{p}
S17, Vegeta_[Goku]--0
S18, Vegeta_[IndexFingers]--0
S19, Vegeta_[LeftEar]--0
S20, Vegeta_[RightEar]--0
